Q3:
+----------+----------------+-----------------+----------------+---------+---------+----------------+
| ds       | firstcommodity | secondcommodity | commodityname  | uv      | pv      | sum_price      |
| 20200801 | 女装           | 牛仔裤2         | 九分牛仔裤0    | 21636   | 21677   | 11056907.000   |
| 20200801 | 女装           | 牛仔裤2         | 九分牛仔裤1    | 21502   | 21535   | 11039921.000   |
| 20200801 | 女装           | 牛仔裤2         | 九分牛仔裤10   | 21673   | 21714   | 11022636.000   |
| 20200801 | 女装           | 牛仔裤2         | 九分牛仔裤11   | 21313   | 21347   | 10839325.000   |
| 20200801 | 女装           | 牛仔裤2         | 九分牛仔裤12   | 21611   | 21651   | 10954295.000   |
| 20200801 | 女装           | 牛仔裤2         | 九分牛仔裤13   | 21707   | 21740   | 11004474.000   |
| 20200801 | 女装           | 牛仔裤2         | 九分牛仔裤14   | 21834   | 21866   | 11160243.000   |
| 20200801 | 女装           | 牛仔裤2         | 九分牛仔裤15   | 21785   | 21817   | 11135095.000   |
| 20200801 | 女装           | 牛仔裤2         | 九分牛仔裤16   | 21552   | 21586   | 10949660.000   |
| 20200801 | 女装           | 牛仔裤2         | 九分牛仔裤17   | 21678   | 21725   | 10934697.000   |
| 20200801 | 女装           | 牛仔裤2         | 九分牛仔裤18   | 21759   | 21798   | 11097240.000   |
| 20200801 | 女装           | 牛仔裤2         | 九分牛仔裤19   | 21732   | 21771   | 11128937.000   |
| 20200801 | 女装           | 牛仔裤2         | 九分牛仔裤2    | 21780   | 21826   | 11110197.000   |
| 20200801 | 女装           | 牛仔裤2         | 九分牛仔裤20   | 21706   | 21756   | 11028357.000   |
| 20200801 | 女装           | 牛仔裤2         | 九分牛仔裤21   | 21724   | 21764   | 11104341.000   |
| 20200801 | 女装           | 牛仔裤2         | 九分牛仔裤22   | 21528   | 21571   | 10995602.000   |
| 20200801 | 女装           | 牛仔裤2         | 九分牛仔裤23   | 21862   | 21904   | 11116427.000   |
| 20200801 | 女装           | 牛仔裤2         | 九分牛仔裤24   | 21596   | 21633   | 11103166.000   |
| 20200801 | 女装           | 牛仔裤2         | 九分牛仔裤25   | 21962   | 22001   | 11245686.000   |
| 20200801 | 女装           | 牛仔裤2         | 九分牛仔裤26   | 21572   | 21609   | 10989869.000   |
| 20200801 | 女装           | 牛仔裤2         | 九分牛仔裤27   | 21823   | 21864   | 11107997.000   |
| 20200801 | 女装           | 牛仔裤2         | 九分牛仔裤28   | 21456   | 21512   | 10940942.000   |
| 20200801 | 女装           | 牛仔裤2         | 九分牛仔裤29   | 21919   | 21968   | 11161781.000   |
| 20200801 | 女装           | 牛仔裤2         | 九分牛仔裤3    | 21720   | 21759   | 11138300.000   |
| 20200801 | 女装           | 牛仔裤2         | 九分牛仔裤4    | 22016   | 22049   | 11252298.000   |
| 20200801 | 女装           | 牛仔裤2         | 九分牛仔裤5    | 21563   | 21597   | 10922692.000   |
| 20200801 | 女装           | 牛仔裤2         | 九分牛仔裤6    | 21509   | 21549   | 10919073.000   |
| 20200801 | 女装           | 牛仔裤2         | 九分牛仔裤7    | 21741   | 21779   | 11080402.000   |
| 20200801 | 女装           | 牛仔裤2         | 九分牛仔裤8    | 21576   | 21611   | 11007865.000   |
| 20200801 | 女装           | 牛仔裤2         | 九分牛仔裤9    | 21587   | 21625   | 10942834.000   |
| 20200801 | 女装           | 牛仔裤3         | 九分牛仔裤0    | 21591   | 21626   | 10974176.000   |
| 20200801 | 女装           | 牛仔裤3         | 九分牛仔裤1    | 21949   | 21998   | 11159362.000   |
| 20200801 | 女装           | 牛仔裤3         | 九分牛仔裤10   | 21766   | 21801   | 11038021.000   |
| 20200801 | 女装           | 牛仔裤3         | 九分牛仔裤11   | 21732   | 21774   | 11136477.000   |
| 20200801 | 女装           | 牛仔裤3         | 九分牛仔裤12   | 22017   | 22052   | 11294946.000   |
| 20200801 | 女装           | 牛仔裤3         | 九分牛仔裤13   | 21738   | 21780   | 11090509.000   |
| 20200801 | 女装           | 牛仔裤3         | 九分牛仔裤14   | 21820   | 21857   | 11069413.000   |
| 20200801 | 女装           | 牛仔裤3         | 九分牛仔裤15   | 21917   | 21960   | 11248795.000   |
| 20200801 | 女装           | 牛仔裤3         | 九分牛仔裤16   | 21571   | 21607   | 11007087.000   |
| 20200801 | 女装           | 牛仔裤3         | 九分牛仔裤17   | 21690   | 21727   | 11035641.000   |
| 20200801 | 女装           | 牛仔裤3         | 九分牛仔裤18   | 21523   | 21565   | 10966197.000   |
| 20200801 | 女装           | 牛仔裤3         | 九分牛仔裤19   | 21776   | 21810   | 11102594.000   |
| 20200801 | 女装           | 牛仔裤3         | 九分牛仔裤2    | 21654   | 21694   | 11034712.000   |
| 20200801 | 女装           | 牛仔裤3         | 九分牛仔裤20   | 21787   | 21820   | 11087772.000   |
| 20200801 | 女装           | 牛仔裤3         | 九分牛仔裤21   | 21751   | 21791   | 11142686.000   |
| 20200801 | 女装           | 牛仔裤3         | 九分牛仔裤22   | 21569   | 21612   | 10925772.000   |
| 20200801 | 女装           | 牛仔裤3         | 九分牛仔裤23   | 21967   | 22005   | 11204752.000   |
| 20200801 | 女装           | 牛仔裤3         | 九分牛仔裤24   | 21510   | 21541   | 10934747.000   |
| 20200801 | 女装           | 牛仔裤3         | 九分牛仔裤25   | 21724   | 21759   | 10966761.000   |
| 20200801 | 女装           | 牛仔裤3         | 九分牛仔裤26   | 21560   | 21608   | 10926210.000   |
| 20200801 | 女装           | 牛仔裤3         | 九分牛仔裤27   | 21467   | 21497   | 10997089.000   |
| 20200801 | 女装           | 牛仔裤3         | 九分牛仔裤28   | 21708   | 21751   | 11026535.000   |
| 20200801 | 女装           | 牛仔裤3         | 九分牛仔裤29   | 21712   | 21754   | 11000143.000   |
| 20200801 | 女装           | 牛仔裤3         | 九分牛仔裤3    | 21723   | 21747   | 11125372.000   |
| 20200801 | 女装           | 牛仔裤3         | 九分牛仔裤4    | 21576   | 21612   | 11000001.000   |
| 20200801 | 女装           | 牛仔裤3         | 九分牛仔裤5    | 21717   | 21751   | 11058723.000   |
| 20200801 | 女装           | 牛仔裤3         | 九分牛仔裤6    | 21406   | 21449   | 10885357.000   |
| 20200801 | 女装           | 牛仔裤3         | 九分牛仔裤7    | 21486   | 21516   | 10938812.000   |
| 20200801 | 女装           | 牛仔裤3         | 九分牛仔裤8    | 21783   | 21814   | 11074371.000   |
| 20200801 | 女装           | 牛仔裤3         | 九分牛仔裤9    | 21727   | 21763   | 11037345.000   |
| 20200801 | 女装           | 牛仔裤4         | 九分牛仔裤0    | 21718   | 21749   | 11091637.000   |
| 20200801 | 女装           | 牛仔裤4         | 九分牛仔裤1    | 21598   | 21649   | 11033651.000   |
| 20200801 | 女装           | 牛仔裤4         | 九分牛仔裤10   | 21616   | 21665   | 11063692.000   |
| 20200801 | 女装           | 牛仔裤4         | 九分牛仔裤11   | 21448   | 21485   | 10934561.000   |
| 20200801 | 女装           | 牛仔裤4         | 九分牛仔裤12   | 21526   | 21561   | 10948659.000   |
| 20200801 | 女装           | 牛仔裤4         | 九分牛仔裤13   | 21554   | 21595   | 10988240.000   |
| 20200801 | 女装           | 牛仔裤4         | 九分牛仔裤14   | 21888   | 21919   | 11115234.000   |
| 20200801 | 女装           | 牛仔裤4         | 九分牛仔裤15   | 21907   | 21941   | 11110715.000   |
| 20200801 | 女装           | 牛仔裤4         | 九分牛仔裤16   | 21681   | 21725   | 10944998.000   |
| 20200801 | 女装           | 牛仔裤4         | 九分牛仔裤17   | 21584   | 21621   | 11006329.000   |
| 20200801 | 女装           | 牛仔裤4         | 九分牛仔裤18   | 21397   | 21429   | 10916025.000   |
| 20200801 | 女装           | 牛仔裤4         | 九分牛仔裤19   | 21477   | 21521   | 10950411.000   |
| 20200801 | 女装           | 牛仔裤4         | 九分牛仔裤2    | 21847   | 21889   | 11173731.000   |
| 20200801 | 女装           | 牛仔裤4         | 九分牛仔裤20   | 21560   | 21597   | 10953786.000   |
| 20200801 | 女装           | 牛仔裤4         | 九分牛仔裤21   | 21583   | 21620   | 11024231.000   |
| 20200801 | 女装           | 牛仔裤4         | 九分牛仔裤22   | 21511   | 21547   | 10987671.000   |
| 20200801 | 女装           | 牛仔裤4         | 九分牛仔裤23   | 21754   | 21791   | 11130659.000   |
| 20200801 | 女装           | 牛仔裤4         | 九分牛仔裤24   | 21744   | 21791   | 11090464.000   |
| 20200801 | 女装           | 牛仔裤4         | 九分牛仔裤25   | 21508   | 21539   | 10962088.000   |
| 20200801 | 女装           | 牛仔裤4         | 九分牛仔裤26   | 21979   | 22007   | 11288572.000   |
| 20200801 | 女装           | 牛仔裤4         | 九分牛仔裤27   | 21620   | 21656   | 11004781.000   |
| 20200801 | 女装           | 牛仔裤4         | 九分牛仔裤28   | 21590   | 21634   | 10961433.000   |
| 20200801 | 女装           | 牛仔裤4         | 九分牛仔裤29   | 22026   | 22055   | 11214208.000   |
| 20200801 | 女装           | 牛仔裤4         | 九分牛仔裤3    | 21888   | 21927   | 11172299.000   |
| 20200801 | 女装           | 牛仔裤4         | 九分牛仔裤4    | 21824   | 21858   | 11051158.000   |
| 20200801 | 女装           | 牛仔裤4         | 九分牛仔裤5    | 21784   | 21828   | 11150035.000   |
| 20200801 | 女装           | 牛仔裤4         | 九分牛仔裤6    | 21686   | 21720   | 10992270.000   |
| 20200801 | 女装           | 牛仔裤4         | 九分牛仔裤7    | 21824   | 21853   | 11106630.000   |
| 20200801 | 女装           | 牛仔裤4         | 九分牛仔裤8    | 21780   | 21814   | 11074891.000   |
| 20200801 | 女装           | 牛仔裤4         | 九分牛仔裤9    | 21704   | 21744   | 11021120.000   |
| 20200801 | 女装           | NULL            | NULL           | 2550886 | 3258959 | 1657248194.000 |
| 20200801 | 女鞋           | 运动鞋0         | 万斯帆布鞋0    | 22057   | 22108   | 11244840.000   |
| 20200801 | 女鞋           | 运动鞋0         | 万斯帆布鞋1    | 21622   | 21661   | 10999984.000   |
| 20200801 | 女鞋           | 运动鞋0         | 万斯帆布鞋10   | 21910   | 21951   | 11161573.000   |
| 20200801 | 女鞋           | 运动鞋0         | 万斯帆布鞋11   | 21968   | 22014   | 11263715.000   |
| 20200801 | 女鞋           | 运动鞋0         | 万斯帆布鞋12   | 21885   | 21927   | 11180997.000   |
| 20200801 | 女鞋           | 运动鞋0         | 万斯帆布鞋13   | 22016   | 22065   | 11161796.000   |
| 20200801 | 女鞋           | 运动鞋0         | 万斯帆布鞋14   | 21750   | 21791   | 11164558.000   |
| 20200801 | 女鞋           | 运动鞋0         | 万斯帆布鞋15   | 21796   | 21826   | 11132443.000   |
| 20200801 | 女鞋           | 运动鞋0         | 万斯帆布鞋16   | 22042   | 22086   | 11266249.000   |
| 20200801 | 女鞋           | 运动鞋0         | 万斯帆布鞋17   | 21865   | 21910   | 11189379.000   |
| 20200801 | 女鞋           | 运动鞋0         | 万斯帆布鞋18   | 21962   | 22005   | 11263922.000   |
| 20200801 | 女鞋           | 运动鞋0         | 万斯帆布鞋19   | 21951   | 21983   | 11212080.000   |
| 20200801 | 女鞋           | 运动鞋0         | 万斯帆布鞋2    | 21918   | 21963   | 11214276.000   |
| 20200801 | 女鞋           | 运动鞋0         | 万斯帆布鞋20   | 21564   | 21596   | 11025597.000   |
| 20200801 | 女鞋           | 运动鞋0         | 万斯帆布鞋21   | 21768   | 21805   | 11052910.000   |
| 20200801 | 女鞋           | 运动鞋0         | 万斯帆布鞋22   | 21893   | 21926   | 11260768.000   |
| 20200801 | 女鞋           | 运动鞋0         | 万斯帆布鞋23   | 21771   | 21813   | 11061189.000   |
| 20200801 | 女鞋           | 运动鞋0         | 万斯帆布鞋24   | 21703   | 21744   | 11115318.000   |
| 20200801 | 女鞋           | 运动鞋0         | 万斯帆布鞋25   | 22071   | 22105   | 11230841.000   |
| 20200801 | 女鞋           | 运动鞋0         | 万斯帆布鞋26   | 21849   | 21882   | 11117531.000   |
| 20200801 | 女鞋           | 运动鞋0         | 万斯帆布鞋27   | 21640   | 21659   | 11048429.000   |
| 20200801 | 女鞋           | 运动鞋0         | 万斯帆布鞋28   | 21762   | 21792   | 11127660.000   |
| 20200801 | 女鞋           | 运动鞋0         | 万斯帆布鞋29   | 21855   | 21896   | 11166022.000   |
| 20200801 | 女鞋           | 运动鞋0         | 万斯帆布鞋3    | 22053   | 22109   | 11314672.000   |
| 20200801 | 女鞋           | 运动鞋0         | 万斯帆布鞋4    | 21687   | 21733   | 11054559.000   |
| 20200801 | 女鞋           | 运动鞋0         | 万斯帆布鞋5    | 21773   | 21819   | 11136855.000   |
| 20200801 | 女鞋           | 运动鞋0         | 万斯帆布鞋6    | 21929   | 21971   | 11224809.000   |
| 20200801 | 女鞋           | 运动鞋0         | 万斯帆布鞋7    | 21901   | 21935   | 11240161.000   |
| 20200801 | 女鞋           | 运动鞋0         | 万斯帆布鞋8    | 21887   | 21924   | 11204319.000   |
| 20200801 | 女鞋           | 运动鞋0         | 万斯帆布鞋9    | 21965   | 22003   | 11161431.000   |
| 20200801 | 女鞋           | 运动鞋1         | 万斯帆布鞋0    | 21616   | 21650   | 11034305.000   |
| 20200801 | 女鞋           | 运动鞋1         | 万斯帆布鞋1    | 21952   | 21997   | 11255254.000   |
| 20200801 | 女鞋           | 运动鞋1         | 万斯帆布鞋10   | 21779   | 21817   | 11082633.000   |
| 20200801 | 女鞋           | 运动鞋1         | 万斯帆布鞋11   | 21678   | 21716   | 11045751.000   |
| 20200801 | 女鞋           | 运动鞋1         | 万斯帆布鞋12   | 21687   | 21723   | 11027825.000   |
| 20200801 | 女鞋           | 运动鞋1         | 万斯帆布鞋13   | 21845   | 21875   | 11152307.000   |
| 20200801 | 女鞋           | 运动鞋1         | 万斯帆布鞋14   | 21749   | 21782   | 11046804.000   |
| 20200801 | 女鞋           | 运动鞋1         | 万斯帆布鞋15   | 21749   | 21800   | 11031244.000   |
| 20200801 | 女鞋           | 运动鞋1         | 万斯帆布鞋16   | 21847   | 21889   | 11213370.000   |
| 20200801 | 女鞋           | 运动鞋1         | 万斯帆布鞋17   | 21717   | 21759   | 11075247.000   |
| 20200801 | 女鞋           | 运动鞋1         | 万斯帆布鞋18   | 21795   | 21834   | 11095665.000   |
| 20200801 | 女鞋           | 运动鞋1         | 万斯帆布鞋19   | 21866   | 21904   | 11181797.000   |
| 20200801 | 女鞋           | 运动鞋1         | 万斯帆布鞋2    | 22149   | 22188   | 11335250.000   |
| 20200801 | 女鞋           | 运动鞋1         | 万斯帆布鞋20   | 22047   | 22080   | 11272578.000   |
| 20200801 | 女鞋           | 运动鞋1         | 万斯帆布鞋21   | 21706   | 21745   | 11016792.000   |
| 20200801 | 女鞋           | 运动鞋1         | 万斯帆布鞋22   | 21635   | 21680   | 11091990.000   |
| 20200801 | 女鞋           | 运动鞋1         | 万斯帆布鞋23   | 21833   | 21870   | 11176439.000   |
| 20200801 | 女鞋           | 运动鞋1         | 万斯帆布鞋24   | 21889   | 21923   | 11199919.000   |
| 20200801 | 女鞋           | 运动鞋1         | 万斯帆布鞋25   | 21630   | 21684   | 10965372.000   |
| 20200801 | 女鞋           | 运动鞋1         | 万斯帆布鞋26   | 21842   | 21884   | 11149097.000   |
| 20200801 | 女鞋           | 运动鞋1         | 万斯帆布鞋27   | 22001   | 22044   | 11189008.000   |
| 20200801 | 女鞋           | 运动鞋1         | 万斯帆布鞋28   | 22050   | 22094   | 11263239.000   |
| 20200801 | 女鞋           | 运动鞋1         | 万斯帆布鞋29   | 21492   | 21528   | 10997655.000   |
| 20200801 | 女鞋           | 运动鞋1         | 万斯帆布鞋3    | 21802   | 21834   | 11176256.000   |
| 20200801 | 女鞋           | 运动鞋1         | 万斯帆布鞋4    | 21716   | 21750   | 11119092.000   |
| 20200801 | 女鞋           | 运动鞋1         | 万斯帆布鞋5    | 21756   | 21786   | 11101667.000   |
| 20200801 | 女鞋           | 运动鞋1         | 万斯帆布鞋6    | 21716   | 21749   | 11082940.000   |
| 20200801 | 女鞋           | 运动鞋1         | 万斯帆布鞋7    | 21659   | 21691   | 11035818.000   |
| 20200801 | 女鞋           | 运动鞋1         | 万斯帆布鞋8    | 21833   | 21878   | 11142175.000   |
| 20200801 | 女鞋           | 运动鞋1         | 万斯帆布鞋9    | 21941   | 21980   | 11256420.000   |
| 20200801 | 女鞋           | 运动鞋2         | 万斯帆布鞋0    | 21810   | 21846   | 11145883.000   |
| 20200801 | 女鞋           | 运动鞋2         | 万斯帆布鞋1    | 21827   | 21859   | 11138605.000   |
| 20200801 | 女鞋           | 运动鞋2         | 万斯帆布鞋10   | 21788   | 21827   | 11147248.000   |
| 20200801 | 女鞋           | 运动鞋2         | 万斯帆布鞋11   | 21682   | 21719   | 11114159.000   |
| 20200801 | 女鞋           | 运动鞋2         | 万斯帆布鞋12   | 21701   | 21740   | 11033777.000   |
| 20200801 | 女鞋           | 运动鞋2         | 万斯帆布鞋13   | 21746   | 21785   | 11050498.000   |
| 20200801 | 女鞋           | 运动鞋2         | 万斯帆布鞋14   | 21416   | 21457   | 11024410.000   |
| 20200801 | 女鞋           | 运动鞋2         | 万斯帆布鞋15   | 21888   | 21932   | 11162164.000   |
| 20200801 | 女鞋           | 运动鞋2         | 万斯帆布鞋16   | 21881   | 21926   | 11187500.000   |
| 20200801 | 女鞋           | 运动鞋2         | 万斯帆布鞋17   | 22024   | 22063   | 11221678.000   |
| 20200801 | 女鞋           | 运动鞋2         | 万斯帆布鞋18   | 21849   | 21882   | 11111059.000   |
| 20200801 | 女鞋           | 运动鞋2         | 万斯帆布鞋19   | 21649   | 21685   | 11035597.000   |
| 20200801 | 女鞋           | 运动鞋2         | 万斯帆布鞋2    | 21854   | 21890   | 11124576.000   |
| 20200801 | 女鞋           | 运动鞋2         | 万斯帆布鞋20   | 21839   | 21878   | 11076302.000   |
| 20200801 | 女鞋           | 运动鞋2         | 万斯帆布鞋21   | 21505   | 21545   | 10973682.000   |
| 20200801 | 女鞋           | 运动鞋2         | 万斯帆布鞋22   | 21879   | 21917   | 11167555.000   |
| 20200801 | 女鞋           | 运动鞋2         | 万斯帆布鞋23   | 21870   | 21904   | 11165351.000   |
| 20200801 | 女鞋           | 运动鞋2         | 万斯帆布鞋24   | 21679   | 21715   | 11121587.000   |
| 20200801 | 女鞋           | 运动鞋2         | 万斯帆布鞋25   | 21704   | 21730   | 11091732.000   |
| 20200801 | 女鞋           | 运动鞋2         | 万斯帆布鞋26   | 21637   | 21672   | 11065772.000   |
| 20200801 | 女鞋           | 运动鞋2         | 万斯帆布鞋27   | 21931   | 21972   | 11188963.000   |
| 20200801 | 女鞋           | 运动鞋2         | 万斯帆布鞋28   | 21871   | 21917   | 11143934.000   |
| 20200801 | 女鞋           | 运动鞋2         | 万斯帆布鞋29   | 21757   | 21802   | 11078639.000   |
| 20200801 | 女鞋           | 运动鞋2         | 万斯帆布鞋3    | 21672   | 21703   | 11005113.000   |
| 20200801 | 女鞋           | 运动鞋2         | 万斯帆布鞋4    | 21809   | 21852   | 11082105.000   |
| 20200801 | 女鞋           | 运动鞋2         | 万斯帆布鞋5    | 21651   | 21683   | 11079793.000   |
| 20200801 | 女鞋           | 运动鞋2         | 万斯帆布鞋6    | 21623   | 21664   | 11009802.000   |
| 20200801 | 女鞋           | 运动鞋2         | 万斯帆布鞋7    | 21986   | 22021   | 11229387.000   |
| 20200801 | 女鞋           | 运动鞋2         | 万斯帆布鞋8    | 21815   | 21851   | 11147883.000   |
| 20200801 | 女鞋           | 运动鞋2         | 万斯帆布鞋9    | 21527   | 21565   | 10910987.000   |
| 20200801 | 女鞋           | 运动鞋3         | 万斯帆布鞋0    | 21752   | 21787   | 11090048.000   |
| 20200801 | 女鞋           | 运动鞋3         | 万斯帆布鞋1    | 21612   | 21651   | 10987066.000   |
| 20200801 | 女鞋           | 运动鞋3         | 万斯帆布鞋10   | 21731   | 21775   | 11068335.000   |
| 20200801 | 女鞋           | 运动鞋3         | 万斯帆布鞋11   | 21995   | 22043   | 11169545.000   |
| 20200801 | 女鞋           | 运动鞋3         | 万斯帆布鞋12   | 21871   | 21909   | 11196028.000   |
| 20200801 | 女鞋           | 运动鞋3         | 万斯帆布鞋13   | 21875   | 21911   | 11179029.000   |
| 20200801 | 女鞋           | 运动鞋3         | 万斯帆布鞋14   | 21833   | 21872   | 11132195.000   |
| 20200801 | 女鞋           | 运动鞋3         | 万斯帆布鞋15   | 21745   | 21787   | 11093793.000   |
| 20200801 | 女鞋           | 运动鞋3         | 万斯帆布鞋16   | 21947   | 21986   | 11155585.000   |
| 20200801 | 女鞋           | 运动鞋3         | 万斯帆布鞋17   | 21760   | 21807   | 11146779.000   |
| 20200801 | 女鞋           | 运动鞋3         | 万斯帆布鞋18   | 21833   | 21873   | 11134735.000   |
| 20200801 | 女鞋           | 运动鞋3         | 万斯帆布鞋19   | 21679   | 21716   | 11082313.000   |
| 20200801 | 女鞋           | 运动鞋3         | 万斯帆布鞋2    | 21885   | 21920   | 11124634.000   |
| 20200801 | 女鞋           | 运动鞋3         | 万斯帆布鞋20   | 21729   | 21776   | 11025456.000   |
| 20200801 | 女鞋           | 运动鞋3         | 万斯帆布鞋21   | 21791   | 21832   | 11184736.000   |
| 20200801 | 女鞋           | 运动鞋3         | 万斯帆布鞋22   | 21576   | 21610   | 11023753.000   |
