
Q4:
+----------+---------------------------+------------------+------+-------+-------------+
| ds       | isnull(vip_level, '未知') | total_visit_days | uv   | pv    | sum_price   |
| 20200801 | 未知                      | 153.000          | 1274 | 23204 | 2576408.000 |
| 20200801 | 未知                      | 154.000          | 1410 | 26042 | 2917158.000 |
| 20200801 | 未知                      | 155.000          | 1313 | 23419 | 2583902.000 |
| 20200801 | 未知                      | 156.000          | 1371 | 24077 | 2699946.000 |
| 20200801 | 未知                      | 157.000          | 1345 | 24507 | 2867985.000 |
| 20200801 | 未知                      | 158.000          | 1384 | 24925 | 2782534.000 |
| 20200801 | 未知                      | 159.000          | 1384 | 25314 | 2820057.000 |
| 20200801 | 未知                      | 160.000          | 1353 | 25167 | 2812398.000 |
| 20200801 | 未知                      | 161.000          | 1356 | 24487 | 2727007.000 |
| 20200801 | 未知                      | 162.000          | 1343 | 23935 | 2674051.000 |
| 20200801 | 未知                      | 163.000          | 1321 | 23097 | 2561634.000 |
| 20200801 | 未知                      | 164.000          | 1336 | 24144 | 2654272.000 |
| 20200801 | 未知                      | 165.000          | 1321 | 23212 | 2660351.000 |
| 20200801 | 未知                      | 166.000          | 1334 | 23712 | 2633692.000 |
| 20200801 | 未知                      | 167.000          | 1325 | 23164 | 2616471.000 |
| 20200801 | 未知                      | 168.000          | 1363 | 24775 | 2777711.000 |
| 20200801 | 未知                      | 169.000          | 1333 | 24056 | 2675382.000 |
| 20200801 | 未知                      | 170.000          | 1330 | 23760 | 2640830.000 |
| 20200801 | 未知                      | 171.000          | 1367 | 24367 | 2725433.000 |
| 20200801 | 未知                      | 172.000          | 1397 | 24769 | 2710233.000 |
| 20200801 | 未知                      | 173.000          | 1349 | 24688 | 2795359.000 |
| 20200801 | 未知                      | 174.000          | 1280 | 22896 | 2588381.000 |
| 20200801 | 未知                      | 175.000          | 1318 | 24055 | 2651265.000 |
| 20200801 | 未知                      | 176.000          | 1362 | 24440 | 2720318.000 |
| 20200801 | 未知                      | 177.000          | 1334 | 24465 | 2767902.000 |
| 20200801 | 未知                      | 178.000          | 1263 | 22676 | 2501673.000 |
| 20200801 | 未知                      | 179.000          | 1350 | 24299 | 2788823.000 |
| 20200801 | 未知                      | 180.000          | 1363 | 24736 | 2767214.000 |
| 20200801 | 未知                      | 181.000          | 1335 | 23718 | 2653904.000 |
| 20200801 | 未知                      | 182.000          | 1302 | 22954 | 2587354.000 |
| 20200801 | 未知                      | 183.000          | 1302 | 23417 | 2650598.000 |
| 20200801 | 未知                      | 184.000          | 1311 | 24045 | 2680033.000 |
| 20200801 | 未知                      | 185.000          | 1351 | 23883 | 2627778.000 |
| 20200801 | 未知                      | 186.000          | 1381 | 24959 | 2796696.000 |
| 20200801 | 未知                      | 187.000          | 1264 | 23068 | 2591021.000 |
| 20200801 | 未知                      | 188.000          | 1329 | 23557 | 2632703.000 |
| 20200801 | 未知                      | 189.000          | 1358 | 24288 | 2689077.000 |
| 20200801 | 未知                      | 190.000          | 1340 | 23237 | 2599140.000 |
| 20200801 | 未知                      | 191.000          | 1324 | 23538 | 2667186.000 |
| 20200801 | 未知                      | 192.000          | 1289 | 23324 | 2646283.000 |
| 20200801 | 未知                      | 193.000          | 1308 | 23028 | 2586680.000 |
| 20200801 | 未知                      | 194.000          | 1293 | 22961 | 2558473.000 |
| 20200801 | 未知                      | 195.000          | 1310 | 23368 | 2588610.000 |
| 20200801 | 未知                      | 196.000          | 1324 | 22748 | 2520535.000 |
| 20200801 | 未知                      | 197.000          | 1332 | 23978 | 2713421.000 |
| 20200801 | 未知                      | 198.000          | 1377 | 24823 | 2771355.000 |
| 20200801 | 未知                      | 199.000          | 1344 | 23340 | 2684521.000 |
| 20200801 | 未知                      | 200.000          | 1382 | 24945 | 2748023.000 |
| 20200801 | 未知                      | 201.000          | 1286 | 23338 | 2627891.000 |
| 20200801 | 未知                      | 202.000          | 1292 | 23298 | 2570353.000 |
| 20200801 | 未知                      | 203.000          | 1335 | 23911 | 2682438.000 |
| 20200801 | 未知                      | 204.000          | 1352 | 24843 | 2786672.000 |
| 20200801 | 未知                      | 205.000          | 1348 | 24682 | 2730518.000 |
| 20200801 | 未知                      | 206.000          | 1396 | 24596 | 2702463.000 |
| 20200801 | 未知                      | 207.000          | 1304 | 23586 | 2643697.000 |
| 20200801 | 未知                      | 208.000          | 1360 | 24205 | 2673984.000 |
| 20200801 | 未知                      | 209.000          | 1369 | 24381 | 2758329.000 |
| 20200801 | 未知                      | 210.000          | 1344 | 23698 | 2634480.000 |
| 20200801 | 未知                      | 211.000          | 1394 | 24681 | 2732751.000 |
| 20200801 | 未知                      | 212.000          | 1311 | 22736 | 2524027.000 |
| 20200801 | 未知                      | 213.000          | 1299 | 23546 | 2656739.000 |
| 20200801 | 未知                      | 214.000          | 1253 | 22432 | 2498456.000 |
| 20200801 | 未知                      | 215.000          | 1268 | 23221 | 2641958.000 |
| 20200801 | 未知                      | 216.000          | 1290 | 22698 | 2491114.000 |
| 20200801 | 未知                      | 217.000          | 1318 | 23699 | 2622454.000 |
| 20200801 | 未知                      | 218.000          | 1325 | 23949 | 2704059.000 |
| 20200801 | 未知                      | 219.000          | 1332 | 23529 | 2672977.000 |
| 20200801 | 未知                      | 220.000          | 1315 | 23566 | 2626618.000 |
| 20200801 | 未知                      | 221.000          | 1333 | 23716 | 2663137.000 |
| 20200801 | 未知                      | 222.000          | 1429 | 25073 | 2762525.000 |
| 20200801 | 未知                      | 223.000          | 1314 | 23701 | 2656673.000 |
| 20200801 | 未知                      | 224.000          | 1364 | 24890 | 2781673.000 |
| 20200801 | 未知                      | 225.000          | 1329 | 23180 | 2535055.000 |
| 20200801 | 未知                      | 226.000          | 1387 | 25202 | 2825839.000 |
| 20200801 | 未知                      | 227.000          | 1335 | 23954 | 2678862.000 |
| 20200801 | 未知                      | 228.000          | 1348 | 23997 | 2648360.000 |
| 20200801 | 未知                      | 229.000          | 1329 | 23723 | 2658014.000 |
| 20200801 | 未知                      | 230.000          | 1364 | 24381 | 2766911.000 |
| 20200801 | 未知                      | 231.000          | 1338 | 23835 | 2632959.000 |
| 20200801 | 未知                      | 232.000          | 1351 | 24007 | 2688241.000 |
| 20200801 | 未知                      | 233.000          | 1342 | 23742 | 2671113.000 |
| 20200801 | 未知                      | 234.000          | 1302 | 23528 | 2616365.000 |
| 20200801 | 未知                      | 235.000          | 1322 | 23444 | 2541395.000 |
| 20200801 | 未知                      | 236.000          | 1331 | 24538 | 2697008.000 |
| 20200801 | 未知                      | 237.000          | 1385 | 25472 | 2840886.000 |
| 20200801 | 未知                      | 238.000          | 1313 | 23011 | 2578173.000 |
| 20200801 | 未知                      | 239.000          | 1332 | 24168 | 2749197.000 |
| 20200801 | 未知                      | 240.000          | 1337 | 24034 | 2705639.000 |
| 20200801 | 未知                      | 241.000          | 1323 | 23893 | 2680983.000 |
| 20200801 | 未知                      | 242.000          | 1295 | 23596 | 2676950.000 |
| 20200801 | 未知                      | 243.000          | 1377 | 24754 | 2744298.000 |
| 20200801 | 未知                      | 244.000          | 1329 | 23925 | 2661122.000 |
| 20200801 | 未知                      | 245.000          | 1342 | 24060 | 2647981.000 |
| 20200801 | 未知                      | 246.000          | 1332 | 24407 | 2690746.000 |
| 20200801 | 未知                      | 247.000          | 1325 | 24094 | 2654046.000 |
| 20200801 | 未知                      | 248.000          | 1434 | 25771 | 2870181.000 |
| 20200801 | 未知                      | 249.000          | 1349 | 23401 | 2634217.000 |
| 20200801 | 未知                      | 250.000          | 1281 | 23662 | 2661131.000 |
| 20200801 | 未知                      | 251.000          | 1374 | 25129 | 2782709.000 |
| 20200801 | 未知                      | 252.000          | 1350 | 24274 | 2682214.000 |
| 20200801 | 未知                      | 253.000          | 1340 | 24282 | 2733395.000 |
| 20200801 | 未知                      | 254.000          | 1380 | 24660 | 2785703.000 |
| 20200801 | 未知                      | 255.000          | 1356 | 24007 | 2638664.000 |
| 20200801 | 未知                      | 256.000          | 1365 | 23882 | 2686765.000 |
| 20200801 | 未知                      | 257.000          | 1359 | 24579 | 2784203.000 |
| 20200801 | 未知                      | 258.000          | 1372 | 24789 | 2790482.000 |
| 20200801 | 未知                      | 259.000          | 1321 | 23603 | 2652299.000 |
| 20200801 | 未知                      | 260.000          | 1366 | 24824 | 2815484.000 |
| 20200801 | 未知                      | 261.000          | 1340 | 24384 | 2751607.000 |
| 20200801 | 未知                      | 262.000          | 1312 | 24247 | 2737469.000 |
| 20200801 | 未知                      | 263.000          | 1316 | 23876 | 2661156.000 |
| 20200801 | 未知                      | 264.000          | 1334 | 23786 | 2687892.000 |
| 20200801 | 未知                      | 265.000          | 1367 | 23852 | 2651426.000 |
| 20200801 | 未知                      | 266.000          | 1322 | 23207 | 2592818.000 |
| 20200801 | 未知                      | 267.000          | 1329 | 22963 | 2613176.000 |
| 20200801 | 未知                      | 268.000          | 1307 | 22986 | 2586391.000 |
| 20200801 | 未知                      | 269.000          | 1297 | 23215 | 2622052.000 |
| 20200801 | 未知                      | 270.000          | 1333 | 24430 | 2753179.000 |
| 20200801 | 未知                      | 271.000          | 1261 | 22877 | 2617361.000 |
| 20200801 | 未知                      | 272.000          | 1297 | 22859 | 2509971.000 |
| 20200801 | 未知                      | 273.000          | 1312 | 23140 | 2607377.000 |
| 20200801 | 未知                      | 274.000          | 1354 | 23948 | 2670091.000 |
| 20200801 | 未知                      | 275.000          | 1331 | 24175 | 2671153.000 |
| 20200801 | 未知                      | 276.000          | 1382 | 24111 | 2679946.000 |
| 20200801 | 未知                      | 277.000          | 1384 | 25253 | 2765555.000 |
| 20200801 | 未知                      | 278.000          | 1299 | 23625 | 2664485.000 |
| 20200801 | 未知                      | 279.000          | 1316 | 23923 | 2639283.000 |
| 20200801 | 未知                      | 280.000          | 1335 | 23330 | 2608317.000 |
| 20200801 | 未知                      | 281.000          | 1349 | 24013 | 2710519.000 |
| 20200801 | 未知                      | 282.000          | 1303 | 22547 | 2509111.000 |
| 20200801 | 未知                      | 283.000          | 1379 | 24382 | 2690645.000 |
| 20200801 | 未知                      | 284.000          | 1289 | 23169 | 2660941.000 |
| 20200801 | 未知                      | 285.000          | 1366 | 24936 | 2781581.000 |
| 20200801 | 未知                      | 286.000          | 1330 | 23670 | 2635460.000 |
| 20200801 | 未知                      | 287.000          | 1330 | 23469 | 2728477.000 |
| 20200801 | 未知                      | 288.000          | 1348 | 24549 | 2786704.000 |
| 20200801 | 未知                      | 289.000          | 1360 | 24561 | 2741403.000 |
| 20200801 | 未知                      | 290.000          | 1343 | 24818 | 2751689.000 |
| 20200801 | 未知                      | 291.000          | 1317 | 23665 | 2640355.000 |
| 20200801 | 未知                      | 292.000          | 1431 | 25033 | 2857259.000 |
| 20200801 | 未知                      | 293.000          | 1343 | 25016 | 2801164.000 |
| 20200801 | 未知                      | 294.000          | 1314 | 23551 | 2688726.000 |
| 20200801 | 未知                      | 295.000          | 1336 | 24586 | 2748767.000 |
| 20200801 | 未知                      | 296.000          | 1345 | 23906 | 2676600.000 |
| 20200801 | 未知                      | 297.000          | 1391 | 24467 | 2744950.000 |
| 20200801 | 未知                      | 298.000          | 1342 | 24345 | 2702846.000 |
| 20200801 | 未知                      | 299.000          | 1313 | 24035 | 2697066.000 |
| 20200801 | 未知                      | 300.000          | 1256 | 23079 | 2590384.000 |
| 20200801 | 未知                      | 301.000          | 1376 | 24624 | 2782764.000 |
| 20200801 | 未知                      | 302.000          | 1309 | 23502 | 2662812.000 |
| 20200801 | 未知                      | 303.000          | 1346 | 24703 | 2775039.000 |
| 20200801 | 未知                      | 304.000          | 1306 | 23817 | 2631388.000 |
| 20200801 | 未知                      | 305.000          | 1362 | 24972 | 2862230.000 |
| 20200801 | 未知                      | 306.000          | 1382 | 24518 | 2798238.000 |
| 20200801 | 未知                      | 307.000          | 1320 | 24204 | 2681804.000 |
| 20200801 | 未知                      | 308.000          | 1348 | 24289 | 2718617.000 |
| 20200801 | 未知                      | 309.000          | 1326 | 24195 | 2727045.000 |
| 20200801 | 未知                      | 310.000          | 1320 | 23349 | 2608818.000 |
| 20200801 | 未知                      | 311.000          | 1338 | 24198 | 2732227.000 |
| 20200801 | 未知                      | 312.000          | 1324 | 23913 | 2732837.000 |
| 20200801 | 未知                      | 313.000          | 1371 | 24656 | 2806810.000 |
| 20200801 | 未知                      | 314.000          | 1315 | 23549 | 2670544.000 |
| 20200801 | 未知                      | 315.000          | 1339 | 23724 | 2643125.000 |
| 20200801 | 未知                      | 316.000          | 1334 | 24487 | 2691017.000 |
| 20200801 | 未知                      | 317.000          | 1327 | 23885 | 2664530.000 |
| 20200801 | 未知                      | 318.000          | 1365 | 23943 | 2641539.000 |
| 20200801 | 未知                      | 319.000          | 1288 | 22703 | 2535895.000 |
| 20200801 | 未知                      | 320.000          | 1352 | 23434 | 2623683.000 |
| 20200801 | 未知                      | 321.000          | 1349 | 24378 | 2674675.000 |
| 20200801 | 未知                      | 322.000          | 1364 | 24677 | 2749503.000 |
| 20200801 | 未知                      | 323.000          | 1318 | 23740 | 2669447.000 |
| 20200801 | 未知                      | 324.000          | 1307 | 23668 | 2712862.000 |
| 20200801 | 未知                      | 325.000          | 1345 | 24253 | 2705052.000 |
| 20200801 | 未知                      | 326.000          | 1378 | 24697 | 2740129.000 |
| 20200801 | 未知                      | 327.000          | 1348 | 24215 | 2762216.000 |
| 20200801 | 未知                      | 328.000          | 1337 | 24078 | 2730938.000 |
| 20200801 | 未知                      | 329.000          | 1297 | 22902 | 2569890.000 |
| 20200801 | 未知                      | 330.000          | 1350 | 23897 | 2661040.000 |
| 20200801 | 未知                      | 331.000          | 1361 | 24884 | 2803226.000 |
| 20200801 | 未知                      | 332.000          | 1420 | 25938 | 2909670.000 |
| 20200801 | 未知                      | 333.000          | 1338 | 24337 | 2702600.000 |
| 20200801 | 未知                      | 334.000          | 1350 | 23763 | 2638256.000 |
| 20200801 | 未知                      | 335.000          | 1385 | 25508 | 2845068.000 |
| 20200801 | 未知                      | 336.000          | 1280 | 23428 | 2742410.000 |
| 20200801 | 未知                      | 337.000          | 1362 | 23888 | 2748836.000 |
| 20200801 | 未知                      | 338.000          | 1322 | 23636 | 2641664.000 |
| 20200801 | 未知                      | 339.000          | 1258 | 22539 | 2643047.000 |
| 20200801 | 未知                      | 340.000          | 1322 | 24242 | 2679570.000 |
| 20200801 | 未知                      | 341.000          | 1373 | 24339 | 2691835.000 |
| 20200801 | 未知                      | 342.000          | 1368 | 24505 | 2720126.000 |
| 20200801 | 未知                      | 343.000          | 1348 | 24236 | 2705151.000 |
| 20200801 | 未知                      | 344.000          | 1271 | 23411 | 2596302.000 |
| 20200801 | 未知                      | 345.000          | 1380 | 24916 | 2785700.000 |
| 20200801 | 未知                      | 346.000          | 1339 | 23872 | 2642865.000 |
| 20200801 | 未知                      | 347.000          | 1442 | 25150 | 2777146.000 |
| 20200801 | 未知                      | 348.000          | 1345 | 24337 | 2723674.000 |
| 20200801 | 未知                      | 349.000          | 1372 | 25101 | 2867261.000 |
| 20200801 | 未知                      | 350.000          | 1362 | 24046 | 2663543.000 |
| 20200801 | 未知                      | 351.000          | 1306 | 24110 | 2698168.000 |
| 20200801 | 未知                      | 352.000          | 1323 | 23863 | 2724717.000 |
| 20200801 | 未知                      | 353.000          | 1338 | 24216 | 2664548.000 |
| 20200801 | 未知                      | 354.000          | 1342 | 24422 | 2763221.000 |
| 20200801 | 未知                      | 355.000          | 1374 | 24838 | 2769686.000 |
| 20200801 | 未知                      | 356.000          | 1308 | 23475 | 2710935.000 |
| 20200801 | 未知                      | 357.000          | 1319 | 23625 | 2632953.000 |
| 20200801 | 未知                      | 358.000          | 1231 | 22212 | 2468212.000 |
| 20200801 | 未知                      | 359.000          | 1268 | 22992 | 2543637.000 |
| 20200801 | 未知                      | 360.000          | 1324 | 23942 | 2699296.000 |
| 20200801 | 未知                      | 361.000          | 1332 | 23990 | 2647530.000 |
| 20200801 | 未知                      | 362.000          | 1317 | 23786 | 2626553.000 |
| 20200801 | 未知                      | 363.000          | 1349 | 23659 | 2707129.000 |
| 20200801 | 未知                      | 364.000          | 1348 | 24321 | 2802331.000 |
| 20200801 | 未知                      | 365.000          | 1372 | 24187 | 2729448.000 |
| 20200801 | 未知                      | 366.000          | 1326 | 23709 | 2626159.000 |
| 20200801 | 未知                      | 367.000          | 1341 | 24730 | 2766381.000 |
| 20200801 | 未知                      | 368.000          | 1339 | 23927 | 2666250.000 |
| 20200801 | 未知                      | 369.000          | 1346 | 24454 | 2682333.000 |
| 20200801 | 未知                      | 370.000          | 1289 | 23102 | 2554882.000 |
| 20200801 | 未知                      | 371.000          | 1362 | 24881 | 2778387.000 |
| 20200801 | 未知                      | 372.000          | 1342 | 23940 | 2633942.000 |
| 20200801 | 未知                      | 373.000          | 1377 | 24551 | 2734450.000 |
| 20200801 | 未知                      | 374.000          | 1367 | 24613 | 2711815.000 |
| 20200801 | 未知                      | 375.000          | 1346 | 25266 | 2857755.000 |
| 20200801 | 未知                      | 376.000          | 1296 | 23143 | 2591543.000 |
| 20200801 | 未知                      | 377.000          | 1336 | 23782 | 2677739.000 |
| 20200801 | 未知                      | 378.000          | 1304 | 23316 | 2663938.000 |
| 20200801 | 未知                      | 379.000          | 1366 | 24328 | 2740754.000 |
| 20200801 | 未知                      | 380.000          | 1360 | 23884 | 2754115.000 |
| 20200801 | 未知                      | 381.000          | 1316 | 23862 | 2670853.000 |
| 20200801 | 未知                      | 382.000          | 1371 | 24557 | 2744599.000 |
| 20200801 | 未知                      | 383.000          | 1339 | 24527 | 2767772.000 |
| 20200801 | 未知                      | 384.000          | 1340 | 23969 | 2710032.000 |
| 20200801 | 注册会员                  | 30.000           | 1727 | 29909 | 3415964.000 |
| 20200801 | 注册会员                  | 31.000           | 1840 | 32639 | 3605278.000 |
| 20200801 | 注册会员                  | 32.000           | 1849 | 32953 | 3700689.000 |
| 20200801 | 注册会员                  | 33.000           | 1732 | 31172 | 3482787.000 |
| 20200801 | 注册会员                  | 34.000           | 1666 | 30324 | 3399498.000 |
| 20200801 | 注册会员                  | 35.000           | 1813 | 32087 | 3651551.000 |
| 20200801 | 注册会员                  | 36.000           | 1803 | 31809 | 3645998.000 |
| 20200801 | 注册会员                  | 37.000           | 1854 | 33105 | 3712476.000 |
